Camera.ID,Cropland,Animal.Structures,Built.and.Roads,Firing.Zones,Minefields,Nature.Reserves,Open.Spaces,Orchards,Wolf.Culling.Last.1.Year,Wolf.Culling.10.Years..Dist..Exp..Decay.,Proximity.to.Water,Polygon.Name,Polygon.Type,High.Shooting.Polygons,Low.Shooting.Polygons,Minefield_Polygons,Nature.Reserve.Polygons,Null.Wolf.Abundance,Wolf_10/SE,Predicted.Wolf.Abundance,lower.wolf.abundance,upper.wolf.abundance,Jackal.Culling,Boar.Culling.Focal.Corrected,null.jackal.abundance,Jackal_10/SE,null.boar.abundance,Boar_10/SE,Cattle.Abundance,gazelleabundance,Gazelle_10/SE,human.abundance,Wolf.pack.abundance
11,0.036694,0,0.115317,0.036609,0.743228,0.022032,0.494227,0.119922,0.047985412,0.041653235,0.072376,Saki,Minefields,0.107547,0,0.638123,0,0.473814286,0.833333333,0.199696529,0.19981418,0.199578948,0.583812508,0.152212154,0.667550841,0.434782609,0.441781737,0.256410256,0.350444919,0.359442167,0.27027027,0.591072396,0.365038937
12,0.042523,0.019223,0.123945,0.054467,0.773548,0.018442,0.557038,0.119607,0.055494709,0.048439279,0.237362,Saki,Minefields,0.142672,0,0.659291,0,0.454833921,0.909090909,0.218503794,0.223263339,0.213845712,0.973762721,0.152526216,1,0.833333333,0.376865009,0.277777778,0.125415844,0.163085614,0.37037037,0.216966215,0.05631502
13,0.093274,0.060358,0.122029,0.068112,0.696312,0.001178,0.625804,0.036779,0,0.044743109,0.587827,Saki,Minefields,0.089422,0,0.512747,0.003783,0.652662815,0.666666667,0.220112861,0.225924647,0.21445058,0.446104436,0.363915063,0.455060454,0.384615385,0.415870922,0.238095238,0.372028237,0.18278853,0.37037037,0.627665353,0.907869436
14,0.216069,0.087953,0.157339,0.035663,0.636491,0.002896,0.523005,0.013006,0.166523273,0.074339934,0.28002,Saki,Minefields,0.017763,0,0.430881,0.003959,0.401656045,0.769230769,0.251256423,0.259554744,0.24322341,0.361180913,0.392113964,0.904823303,0.344827586,0.390649406,0.238095238,0.347172261,0.216544378,0.333333333,0.662660094,0.409508642
15,0.451191,0.158331,0.216643,0.003513,0.504121,0.007139,0.34455,0.046928,0.192758107,0.078281708,0.407625,Saki,Minefields,0,0,0.298719,5.90E-05,0.450189708,0.714285714,0.235574127,0.233407682,0.23776068,0.750291213,0.185227385,0.605250646,0.333333333,0.654844766,0.27027027,0.315716874,0.27629061,0.3125,0.286927376,0.113386857
16,0.025784,0.213469,0.33249,0.702174,0.107252,0.067497,0.91467,0.144613,0.300780519,0.207198605,0.290507,Shaal,High Shooting,0.912261,0.098636,5.60E-05,0,0.364931658,0.769230769,0.344992692,0.349618158,0.340428422,0.79962796,0.583795154,0.379947268,0.357142857,0.342528107,0.27027027,0.248235199,0.220761544,0.333333333,0.280874339,0.87097873
17,0.023999,0.151417,0.299806,0.704408,0.102844,0.067057,0.919502,0.144108,0.235090256,0.223287985,0.08897,Shaal,High Shooting,0.968906,0.059392,0.000334,0.000459,0.949486061,0.714285714,0.346811096,0.349596968,0.344047425,0.57626576,0.363876174,0.69596196,0.344827586,0.314663088,0.285714286,0.553566116,0.276644072,0.384615385,0.464054375,0.983017515
18,0.01661,0.044613,0.293746,0.687282,0.085123,0.093668,0.930909,0.11119,0.22090086,0.2443427,0.092183,Shaal,High Shooting,0.732798,0.033444,0,0.039592,0.61106211,0.666666667,0.353935719,0.356094164,0.351790357,0.418247548,0.029241708,0.511347979,0.357142857,0.454144466,0.238095238,0.65942715,0.333022866,0.322580645,0.347136774,0.901544404
19,0.109748,0.045361,0.205436,0.712722,0.111004,0.052062,0.936928,0.042125,0.085119294,0.241633937,0.287284,Shaal,High Shooting,0.748827,0.233146,0,0,0.50295926,0.714285714,0.354751734,0.348877976,0.360724384,0.185924969,0.002880555,0.189242251,0.384615385,0.374191946,0.256410256,0.258404782,0.32309562,0.37037037,0.875419295,0.274724745
20,0.012134,0.104693,0.233254,0.72417,0.053564,0.031348,0.959436,0.074702,0.47970173,0.253745943,0.062726,Shaal,High Shooting,0.794812,0.180598,0,0,0.813881551,0.714285714,0.325707251,0.324915959,0.326500469,0.20201961,0.012246957,0.099527074,0.714285714,0.278996986,0.303030303,0.24312336,0.406757036,0.277777778,0.19806645,0.907659166
21,0.030969,0.033705,0.153517,0.053675,0.672137,0.065555,0.698855,0.12104,0.094562023,0.198233694,0.742323,Hazeka,Minefields,0.316718,0.013107,0.509881,0,0.601105476,0.666666667,0.276715152,0.289232691,0.264739353,0.583495656,0.185845994,0.492279293,0.4,0.509895537,0.238095238,0.356773862,0.549176347,0.285714286,0.361427921,0.409508642
22,0.014865,0.049205,0.09401,0.134006,0.740601,0.089511,0.670795,0.028908,0.039492832,0.159278929,0.553622,Hazeka,Minefields,0.159572,0.055292,0.633948,0,0.447456311,0.666666667,0.256657067,0.267647107,0.246118297,0.348432974,0.01976665,0.540753487,0.3125,0.466390224,0.243902439,0.116490412,0.270104235,0.357142857,0.247602825,0.320957324
23,0.006426,0.066933,0.07656,0.17541,0.782498,0.148481,0.629824,0.004112,0,0.118065037,0.389488,Hazeka,Minefields,0.066926,0.064034,0.674311,0,0.614660275,0.555555556,0.238768224,0.247733742,0.230127169,0.279482944,0.06736805,0.781978078,0.277777778,0.599329206,0.263157895,0.053228031,0.341583217,0.277777778,0.370698204,0.910038847
24,0.009337,0.036464,0.084025,0.178627,0.917572,0.266525,0.594516,0.028182,0,0.149459407,0.589409,Hazeka,Minefields,0.023413,0.030353,0.740205,0,0.522987818,0.833333333,0.240616955,0.24834042,0.233133693,0.205987504,0.129894275,0.830422527,0.384615385,1,0.5,0.133800341,0.283235166,0.285714286,0.183431055,0.929733022
25,0.030366,0.037186,0.136671,0.145531,0.912086,0.1946,0.581931,0.10779,0,0.147098079,0.171137,Hazeka,Minefields,0.053919,0.01521,0.632001,0,0.413064124,0.909090909,0.227610678,0.23388674,0.221503027,0.07328412,0.19512765,0.991050492,0.588235294,0.618432513,0.27027027,0.079517486,0.157782077,0.4,0.588550108,0.846922342
26,0.077743,0,0.2881,0.080203,0.985051,0.07809,0.537504,0.410678,0.976203993,0.145564675,0.086313,Makhfi,Minefields,0,0,0.9139,0.022469,0.764492936,0.769230769,1,1,1,0.281854957,0.240309845,0.157167697,0.526315789,0.289183559,0.285714286,0.536499608,0.351343016,0.416666667,0.16536057,0.997357653
27,0.088718,0,0.271518,0.062305,0.96938,0.080891,0.516945,0.447349,0.780895548,0.136879176,0.0977,Makhfi,Minefields,0,0,0.996263,0.03958,0.981524138,0.769230769,0.757046999,0.783895439,0.731118118,0.072836338,0.021356641,0.507569595,0.4,0.388905323,0.285714286,0.087550375,0.30403338,0.344827586,0.27556225,0.997168296
28,0.124695,0,0.322471,0.04862,0.757091,0.101718,0.446216,0.571207,0.354922045,0.125027925,0.043693,Makhfi,Minefields,0,0.042043,0.824966,0.0777,0.9504482,0.666666667,0.367712799,0.388002207,0.348484365,0.017180456,0.001593,0.596410932,0.344827586,0.604635766,0.27027027,0.299840424,0.376482914,0.303030303,0.297606215,0.940777946
29,0.104426,0,0.255146,0.046002,0.899867,0.070046,0.482074,0.419902,0.568066875,0.116718784,0.156573,Makhfi,Minefields,0,0.000455,0.950567,0.036819,0.709719323,0.714285714,0.539771814,0.571922093,0.509428845,0.055021836,0.008458544,0.53360936,0.322580645,0.550775485,0.277777778,0.208449409,0.168892597,0.555555556,0.365824578,0.889410157
30,0.071994,0,0.230475,0.034431,0.928024,0.047154,0.464261,0.31861,0.687659352,0.106795736,0.200806,Makhfi,Minefields,0,0,0.920713,0.009894,0.959204627,0.666666667,0.688510885,0.716450739,0.661660617,0.145994142,0.010777011,0.236117278,0.416666667,0.318528272,0.303030303,0.323722717,0.598811966,0.277777778,0.307826935,0.978079966
31,0.06328,0,0.547425,0.27388,0.187308,0.501855,0.594162,0.838519,0.582810302,0.245402604,0.140259,Odem,Nature Reserve,0.04044,0.402463,0.17173,0.505102,0.61165508,0.833333333,0.609923201,0.643989563,0.577658913,0.008098448,0.007481194,0.078040203,0.769230769,0.307861825,0.434782609,0.123901225,0.328156477,0.277777778,0.597787928,0.925750088
32,0.040004,0,0.379402,0.498102,0.065037,0.515588,0.758733,0.539684,1,0.510632098,0.298063,Odem,Nature Reserve,0.162448,0.471537,0.018988,0.51625,0.590679663,0.555555556,0.668859261,0.683582478,0.654453158,0.324746024,0.041054272,0.154094685,0.434782609,0.595102858,0.333333333,0.860141184,0.432962729,0.25,0.588781093,0.522267092
33,0.022152,0,0.324088,0.661313,0.076534,0.460365,0.831592,0.378779,1,0.435126603,0.34794,Odem,Nature Reserve,0.150262,0.222555,0.038692,0.461203,0.881038515,0.714285714,0.52231342,0.524134118,0.520499048,0.212703005,0.015303598,0.712053746,0.416666667,0.463258753,0.4,0.921483245,0.527981524,0.263157895,0.443898409,0.943984398
34,0.024323,0.006264,0.342392,0.68155,0.178572,0.375187,0.830867,0.370789,1,0.300007403,0.174904,Odem,Nature Reserve,0.114794,0.064455,0.142731,0.358388,0.79847717,0.625,0.501133831,0.503596693,0.498683015,0.179786638,0.002611775,0.680654104,0.303030303,0.481885152,0.37037037,0.44721824,0.334091056,0.3125,0.212953964,0.219033662
35,0.028251,0,0.386808,0.615019,0.163007,0.466368,0.785562,0.472549,0.825294945,0.329207271,0.293537,Odem,Nature Reserve,0.08027,0.162731,0.132903,0.472786,0.634642249,0.769230769,0.548541898,0.568722676,0.529077222,0.076918753,0.010975406,0.724900144,0.333333333,0.34790539,0.333333333,0.665539718,0.139919106,0.4,0.444347734,0.90046241
36,0.054866,0,0.466601,0.378928,0.064643,0.571531,0.704887,0.637125,1,0.435323983,0.233854,Masade,aaLow Shooting,0.1511,0.598054,0.018885,0.542993,0.593010871,0.833333333,0.80923064,0.826721387,0.792109941,0.442257503,0.01002945,0.499397339,0.322580645,0.631138104,0.277777778,0.267167933,0.292445081,0.263157895,0.478011706,0.88048083
37,0.065952,0,0.388786,0.400342,0.069481,0.510185,0.767967,0.478451,1,0.707596362,0.301055,Masade,aaLow Shooting,0.281077,0.491096,0,0.455089,0.48889054,0.666666667,0.64874973,0.662137549,0.635632601,1,0.007641377,0.401509224,0.37037037,0.519480221,0.303030303,0.243393828,0.443714017,0.3125,0.228575472,0.124551516
38,0.078179,0,0.295913,0.507335,0.062182,0.290492,0.853468,0.269856,1,0.736096859,0.124052,Masade,aaLow Shooting,0.347746,0.384033,0,0.254088,0.394708183,0.909090909,0.448359094,0.445414709,0.451322942,1,0.012114748,0.211414334,0.476190476,0.608451349,0.27027027,1,0.484466902,0.322580645,0.336627168,0.840662609
39,0.067892,0,0.617849,0.216599,0.142031,0.539023,0.567962,0.843342,0.575682533,0.202709988,0.120723,Masade,aaLow Shooting,0.041996,0.551284,0.131915,0.515743,0.272028969,0.833333333,0.633461968,0.665178666,0.603257569,0.013357192,0.004890195,0.432320076,0.243902439,0.555115205,0.357142857,0.227111676,0.236251653,0.303030303,1,0.008017558
40,0.043673,0,0.34246,0.521838,0.053992,0.445986,0.801442,0.432643,1,0.624710083,0.215189,Masade,aaLow Shooting,0.236973,0.500529,0,0.427256,0.443713329,0.714285714,0.567681195,0.576039834,0.559443844,0.759803949,0.034712492,0.237508747,0.416666667,0.429118503,0.322580645,0.454304492,0.507986927,0.294117647,0.282120645,0.041232271
41,0.019435,0,0.365769,0.375,0.039238,0.935449,0.733037,0.189597,0,0,0.131256,Hermon,Nature Reserve,5.00E-06,0.173772,0.02767,0.668397,0.521377875,0.3125,0.416572699,0.411666749,0.421537115,0.012688402,0,0.48758947,0.243902439,0.412970608,0.357142857,0.27914965,0.350517132,0.25,0.259131046,0.482209825
42,0.039647,0,0.533694,0.26327,0.082514,0.826091,0.681686,0.440293,0.072424172,0.022424605,0.346633,Hermon,Nature Reserve,0.007648,0.349859,0.069818,0.705108,0.324316516,0.833333333,0.392165139,0.395243773,0.389110486,0.034536133,0,0.981797726,0.476190476,0.477051115,0.285714286,0.300651827,0.260390399,0.285714286,0.303482163,0.101373421
43,0.045969,0,0.534737,0.273577,0.079491,0.821556,0.68439,0.526772,0.25020011,0.082956001,0.314667,Hermon,Nature Reserve,0.02375,0.394832,0.064668,0.753232,0.584702809,0.555555556,0.467555172,0.475657329,0.459591023,0.052082138,0.00036615,0.440832789,0.25,0.222839094,0.37037037,0.101749926,0.340782001,0.25,0.25218617,0.482209825
44,0.055361,0,0.549652,0.26339,0.084437,0.74481,0.659364,0.65159,0.564444682,0.163310498,0.223052,Hermon,Nature Reserve,0.046763,0.486917,0.066625,0.705769,0.272028969,0.833333333,0.628794795,0.647167178,0.610943984,0.037945527,0.00063282,0.676522505,0.23255814,0.241634612,0.434782609,0.344359397,0.236251653,0.303030303,0.050498529,0.008017558
45,0.047719,0,0.387705,0.424346,0.054364,0.804145,0.765124,0.421794,1,0.33767578,0.455324,Hermon,Nature Reserve,0.123574,0.340339,0.001941,0.763671,0.557600825,0.303030303,0.760499473,0.753858497,0.767198953,0.603236112,0,0.311156613,0.277777778,0.357627537,0.303030303,0.40259108,0.205651932,0.322580645,0.324185055,0.55552148
46,0.192731,0.016502,0.1641,0.715031,0.137517,0.073302,0.906883,0.061033,0.080516618,0.195864901,0.08897,Slopes (south),aaLow Shooting,0.453501,0.474749,0,0,0.582142876,0.588235294,0.346901578,0.345968593,0.347837079,0.03442377,0,0.431526657,0.277777778,0.513706042,0.227272727,0.254726422,0.507601653,0.3125,0.404841117,0.924443856
47,0.232237,0.018093,0.169627,0.676346,0.127154,0.088455,0.880206,0.090503,0.070392912,0.151489317,0.310496,Slopes (south),aaLow Shooting,0.284351,0.605819,0,0,0.483656288,0.909090909,0.338867369,0.341482222,0.33627254,0.105603602,0.19192279,0.453181279,0.263157895,0.413658915,0.243902439,0.568387742,0.491771666,0.3125,0.174622556,0.944537483
48,0.399889,0.007078,0.195232,0.551843,0.10795,0.11827,0.795514,0.13399,0.043269843,0.12476147,0.255364,Slopes (south),aaLow Shooting,0.167466,0.617465,0,0,0.554824342,0.666666667,0.307412183,0.317710493,0.297447684,0.148548184,1,0.307556501,0.357142857,0.463239111,0.23255814,0.606415492,0.415516661,0.37037037,0.348643416,0.895772226
49,0.129617,0.026932,0.162315,0.737074,0.119306,0.063401,0.927905,0.072365,0.148055458,0.179758862,0.262734,Slopes (south),aaLow Shooting,0.406525,0.518387,0,0,0.475790822,0.666666667,0.350802768,0.349579691,0.352030125,0.076861486,0,0.37595276,0.294117647,0.431504091,0.23255814,0.307332378,0.406248352,0.454545455,0.352060011,0.3350433
50,0.142251,0.022239,0.198658,0.674691,0.095372,0.081779,0.902776,0.111141,0.177664979,0.145753026,0.282751,Slopes (south),aaLow Shooting,0.174051,0.535048,0,0,0.491154464,0.625,0.34686383,0.350389264,0.343373867,0.435031776,0.258615037,0.231802327,0.344827586,0.382330997,0.243902439,0.811538149,0.308529237,0.333333333,0.27012536,0.897196059
51,0.007219,0.093738,0.171507,0.779,0.180605,0.095138,0.99172,0.012825,0.320810567,0.410771221,0.429675,Firing Zones,aaLow Shooting,0.409005,0.756948,0.085535,0,0.505960388,0.666666667,0.350859397,0.348919767,0.35280981,0.736630009,0.106469865,0.653373727,0.277777778,0.421381152,0.23255814,0.368674438,0.24608301,0.357142857,0.445240025,0.386017618
52,0.004043,0.032942,0.240358,0.885741,0.002226,0.180455,0.982141,0.012299,0.67083731,0.466461122,0.265729,Firing Zones,aaLow Shooting,0.140643,0.675658,0,0.03227,0.562032603,0.714285714,0.323532026,0.319210339,0.327912223,0.636271151,0.060483324,0.269263141,0.37037037,0.447964193,0.238095238,0.724204149,0.175680435,0.454545455,0.33150267,0.342276412
53,0.011304,0.039818,0.207691,0.981284,0.012068,0.084685,0.975615,0.033591,0.419020787,0.222666398,0.266909,Firing Zones,aaLow Shooting,0.096075,0.802968,0,0,0.735238157,0.666666667,0.337737893,0.337982798,0.337493165,0.709153241,0.004139643,0.624306366,0.25,0.398352792,0.263157895,0.525004733,0.372505732,0.285714286,0.348021402,0.889555842
54,0.012218,0.058118,0.157957,0.948868,0.177058,0.09128,0.983732,0.025074,0.146793863,0.227215394,0.030895,Firing Zones,aaLow Shooting,0.170896,0.81318,0.053248,0,0.528667745,0.588235294,0.372802028,0.364357604,0.381442161,0.495074598,0.058454933,0.723866876,0.3125,0.434719785,0.23255814,0.756822546,0.307213091,0.285714286,0.465181504,0.469429586
55,0.007487,0.031859,0.158343,0.972265,0.062373,0.10989,0.992743,0.010993,0.318164049,0.299820274,0.44738,Firing Zones,aaLow Shooting,0.159939,0.993199,0.00416,0,0.592515368,0.555555556,0.353911842,0.352337493,0.355493227,0.748728419,0.024417398,0.647204288,0.25,0.391781032,0.243902439,0.674708571,0.45303075,0.357142857,0.449441398,0.350314211
56,0.281465,0.009007,0.420333,0.26343,0.056741,0.129492,0.766904,0.231472,1,0.682370484,0.111917,Snir,High Shooting,0.4622,0.127658,0,0.059764,0.538970173,0.666666667,0.535656118,0.545863672,0.525639442,1,0.026145566,0.497261595,0.333333333,0.532710568,0.294117647,0.286317042,0.30238487,0.303030303,0.379127211,0.070156386
57,0.184693,0.00901,0.443093,0.234812,0.120627,0.218538,0.735076,0.392594,1,0.886452019,0.154477,Snir,High Shooting,0.479235,0.195439,0,0.144707,0.000194273,0.69,0.616919502,0.635674144,0.598718188,1,0.046690257,0.337783144,0.263157895,0.460913075,0.263157895,0.251588997,0.44590916,0.277777778,0.106761918,0.277634341
58,0.133894,0,0.459174,0.271843,0.126583,0.374562,0.716048,0.442725,1,0.888928115,0.120627,Snir,High Shooting,0.378031,0.198746,0,0.268438,1,0.625,0.707519012,0.730890014,0.684895324,1,0.023724662,0.47448186,0.256410256,0.391235756,0.263157895,0.204987423,0.365063705,0.285714286,0.701681862,0.946588034
59,0.17035,0,0.350575,0.336933,0.073251,0.182582,0.812349,0.25687,1,0.79927212,0.194265,Snir,High Shooting,0.469027,0.230065,0,0.126852,0.639551752,0.714285714,0.48011138,0.483472975,0.476773159,1,0.022205962,0.568770949,0.25,0.703395701,0.25,0.681686636,0.506649486,0.27027027,0.356012281,0.909403287
60,0.276728,0.001384,0.379966,0.327177,0.039554,0.117044,0.805825,0.151122,0.715396131,0.525493085,0.110028,Snir,High Shooting,0.427696,0.069658,0,0.049427,0.34376257,0.344827586,0.417971628,0.432033749,0.404367209,1,0.055971512,0.803829481,0.243902439,0.49571573,0.25,0.294701539,0.258540482,0.285714286,0.487608241,0.454205551
